sales,region,date
1638.0,north,2018-02-06 00:00:00
1647.0,south,2018-02-06 00:00:00
1731.0,east,2018-02-06 00:00:00
1557.0,west,2018-02-06 00:00:00
1587.0,north,2018-02-07 00:00:00
1698.0,south,2018-02-07 00:00:00
1542.0,east,2018-02-07 00:00:00
1635.0,west,2018-02-07 00:00:00
1602.0,north,2018-02-08 00:00:00
1536.0,south,2018-02-08 00:00:00
1503.0,east,2018-02-08 00:00:00
1701.0,west,2018-02-08 00:00:00
1758.0,north,2018-02-09 00:00:00
1662.0,south,2018-02-09 00:00:00
1782.0,east,2018-02-09 00:00:00
1515.0,west,2018-02-09 00:00:00
1662.0,north,2018-02-10 00:00:00
1557.0,south,2018-02-10 00:00:00
1650.0,east,2018-02-10 00:00:00
1674.0,west,2018-02-10 00:00:00
1554.0,north,2018-02-11 00:00:00
1587.0,south,2018-02-11 00:00:00
1563.0,east,2018-02-11 00:00:00
1764.0,west,2018-02-11 00:00:00
1758.0,north,2018-02-12 00:00:00
1608.0,south,2018-02-12 00:00:00
1569.0,east,2018-02-12 00:00:00
1653.0,west,2018-02-12 00:00:00
1572.0,north,2018-02-13 00:00:00
1716.0,south,2018-02-13 00:00:00
1773.0,east,2018-02-13 00:00:00
1725.0,west,2018-02-13 00:00:00
1767.0,north,2018-02-14 00:00:00
1710.0,south,2018-02-14 00:00:00
1698.0,east,2018-02-14 00:00:00
1512.0,west,2018-02-14 00:00:00
1746.0,north,2018-02-15 00:00:00
1734.0,south,2018-02-15 00:00:00
1524.0,east,2018-02-15 00:00:00
1614.0,west,2018-02-15 00:00:00
1578.0,north,2018-02-16 00:00:00
1782.0,south,2018-02-16 00:00:00
1527.0,east,2018-02-16 00:00:00
1752.0,west,2018-02-16 00:00:00
1785.0,north,2018-02-17 00:00:00
1689.0,south,2018-02-17 00:00:00
1641.0,east,2018-02-17 00:00:00
1575.0,west,2018-02-17 00:00:00
1644.0,north,2018-02-18 00:00:00
1674.0,south,2018-02-18 00:00:00
1551.0,east,2018-02-18 00:00:00
